Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 28 2014,10:30 pm,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,
Tue Oct 28 2014,8:00 pm,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,
Tue Oct 28 2014,8:00 pm,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,
Wed Oct 29 2014,7:30 pm,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,
Wed Oct 29 2014,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,
Wed Oct 29 2014,9:00 pm,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,
Wed Oct 29 2014,7:00 pm,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,
Wed Oct 29 2014,8:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,
Wed Oct 29 2014,7:30 pm,Washington Wizards,95,Miami Heat,107,Box Score,,19744,
Wed Oct 29 2014,8:00 pm,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,
Wed Oct 29 2014,10:00 pm,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,
Wed Oct 29 2014,10:30 pm,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,
Wed Oct 29 2014,10:00 pm,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,
Wed Oct 29 2014,7:30 pm,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,
Wed Oct 29 2014,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,
Thu Oct 30 2014,8:00 pm,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,
Thu Oct 30 2014,8:30 pm,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,
Thu Oct 30 2014,10:30 pm,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,19060,
Thu Oct 30 2014,8:00 pm,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,
Thu Oct 30 2014,7:00 pm,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,
Fri Oct 31 2014,8:00 pm,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,
Fri Oct 31 2014,7:00 pm,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,
Fri Oct 31 2014,10:30 pm,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,
Fri Oct 31 2014,8:30 pm,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,
Fri Oct 31 2014,10:00 pm,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,
Fri Oct 31 2014,10:00 pm,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,